project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,1,5,0.9473684210526315,false,147,2,0.0010228403066037599,0,PACKAGE,.,.,org.apache.kafka.connect.mirror.clients.admin,admin,16835,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,0,10,1.0,false,342,1,9.712430859914466E-4,0,PACKAGE,.,.,org.apache.kafka.jmh.fetcher,fetcher,16903,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.2,false,PACKAGE,30,19,0.39759036144578314,false,4949,21,0.005671460282717797,0,PACKAGE,/home/ubuntu/kafka/clients/src/main/java/org/apache/kafka/clients/producer/package-info.java,clients/src/main/java/org/apache/kafka/clients/producer/package-info.java,org.apache.kafka.clients.producer,producer,16965,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.11428571428571428,false,PACKAGE,54,19,0.34196891191709844,false,6856,38,0.023021396530053022,0,PACKAGE,.,.,org.apache.kafka.clients,clients,25172,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.5,false,PACKAGE,1,1,0.1111111111111111,false,72,6,0.0011213931294982728,0,PACKAGE,.,.,org.apache.kafka.clients.consumer.internals.events,events,8849,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,4,5,0.45454545454545453,false,434,3,0.0014207122077698206,0,PACKAGE,.,.,kafka.server.builders,builders,58044,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.08433734939759036,false,PACKAGE,8,26,0.7029411764705882,false,30747,170,0.0018044899942382328,0,PACKAGE,.,.,org.apache.kafka.streams.kstream.internals,internals,8924,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.16666666666666666,false,PACKAGE,47,19,0.2727272727272727,false,6686,37,0.018481904981693806,0,PACKAGE,/home/ubuntu/kafka/clients/src/main/java/org/apache/kafka/clients/consumer/package-info.java,clients/src/main/java/org/apache/kafka/clients/consumer/package-info.java,org.apache.kafka.clients.consumer,consumer,824,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.5,false,PACKAGE,2,1,0.25,false,29,2,0.0014407718530472665,0,PACKAGE,.,.,org.apache.kafka.common.utils.annotation,annotation,50055,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.3333333333333333,false,PACKAGE,6,3,0.5384615384615384,false,665,3,0.0014122200996981062,0,PACKAGE,.,.,org.apache.kafka.queue,queue,58298,container
