project,versionId,versionIndex,versionDate,ATDI,ATDI_WEIGHTED,AffectedClassesRatio,AffectedComponentType,AffectedConstructType,AffectedElements,AffectsIndexList,AfferentAffectedRatio,CentralComponent,EfferentAffectedRatio,InstabilityGap,LOCDensity,MeanContTreeDepth,MeanContTreeDistance,NumberOfEdges,PageRankWeighted,PageRankWeightedRanking,Severity,Shape,Size,SmellExtent,SmellExtentByWeight,StDContTreeDepth,StDContTreeDistance,Strength,SumOfEdgeWeights,TotalNumberOfChanges,smellType,vertexId,vertexLabel
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,303.7988122525131,21.23235764962621,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.clients.consumer, org.apache.kafka.common.config, org.apache.kafka.clients.admin.internals, org.apache.kafka.clients.consumer.internals, org.apache.kafka.common.security.authenticator, org.apache.kafka.common.security.scram.internals, org.apache.kafka.clients.admin, org.apache.kafka.common, org.apache.kafka.common.security.auth, org.apache.kafka.common.metrics, org.apache.kafka.common.metrics.internals, org.apache.kafka.common.config.internals, org.apache.kafka.common.utils, org.apache.kafka.common.internals]",75065;74721;75891;75539;74870;74815;76051;75300;76096;76120;75822;74512;75503;75617,0.0,,0.0,0.0,0.0,5.5,3.142857142857143,69,1.1906777136076045E-4,1,6.401796703494763,CIRCLE,14,2252,11,0.7319250547113999,1.2365445346550374,0.0,1610,0,cyclicDep,194249,smell
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,319.57728106661153,40.99149963526503,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.clients.consumer, org.apache.kafka.common.config, org.apache.kafka.clients.admin.internals, org.apache.kafka.clients.consumer.internals, org.apache.kafka.common.security.authenticator, org.apache.kafka.common.metrics.stats, org.apache.kafka.common.security.scram.internals, org.apache.kafka.clients.admin, org.apache.kafka.common, org.apache.kafka.common.security.auth, org.apache.kafka.common.metrics, org.apache.kafka.common.config.internals, org.apache.kafka.common.utils, org.apache.kafka.common.internals]",75072;74721;75891;75539;74870;74815;76051;75300;76096;76120;75822;74512;75503;75248,0.0,,0.0,0.0,0.0,5.5,3.1538461538461537,72,1.1945441349649269E-4,1,6.401796703494763,CIRCLE,14,2492,41,0.7319250547113999,1.2218080362439354,0.0,1690,0,cyclicDep,194273,smell
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,72.09192395126887,25.86838302279478,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.common.metrics, org.apache.kafka.common.metrics.stats, org.apache.kafka.common.utils]",75072;74721;74831,0.0,,0.0,0.0,0.0,5.333333333333333,3.3333333333333335,5,1.4791098917248002E-4,1,4.722898969256126,CIRCLE,3,233,30,0.4714045207910317,0.9428090415820634,0.0,82,0,cyclicDep,194297,smell
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,317.8413087470544,21.23235764962621,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.clients.consumer, org.apache.kafka.common.config, org.apache.kafka.clients.admin.internals, org.apache.kafka.clients.consumer.internals, org.apache.kafka.common.security.authenticator, org.apache.kafka.common.security.scram.internals, org.apache.kafka.clients.admin, org.apache.kafka.common, org.apache.kafka.common.security.auth, org.apache.kafka.common.config.internals, org.apache.kafka.common.utils, org.apache.kafka.common.network, org.apache.kafka.common.internals]",76091;75891;75539;74870;74815;76051;75300;76096;76120;75822;74512;75503;74852,0.0,,0.0,0.0,0.0,5.461538461538462,3.0384615384615383,70,1.234559522958613E-4,1,6.401796703494763,CIRCLE,13,2465,11,0.7457969011409736,1.2449107443271679,0.0,1683,0,cyclicDep,194310,smell
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,206.2531334843806,9.053507721637665,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.common.security.auth, org.apache.kafka.common.config, org.apache.kafka.clients.admin.internals, org.apache.kafka.common.config.internals, org.apache.kafka.common.security.authenticator, org.apache.kafka.common.utils, org.apache.kafka.common.internals, org.apache.kafka.common.security.scram.internals, org.apache.kafka.common.network, org.apache.kafka.clients.admin]",76091;75891;75539;74870;74815;76051;75300;76096;76120;74542,0.0,,0.0,0.0,0.0,5.6,2.9555555555555557,38,1.0035611051234981E-4,1,6.401796703494763,CIRCLE,10,1038,2,0.66332495807108,1.1344221349422416,0.0,449,0,cyclicDep,194327,smell
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,196.9470851141013,9.207760368587774,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.common.security.auth, org.apache.kafka.clients.admin.internals, org.apache.kafka.common.config.internals, org.apache.kafka.common.security.authenticator, org.apache.kafka.common.utils, org.apache.kafka.common.internals, org.apache.kafka.common.network, org.apache.kafka.common.security.scram.internals, org.apache.kafka.clients.admin]",76091;75891;75539;74870;74815;76051;75300;76096;74771,0.0,,0.0,0.0,0.0,5.666666666666667,3.0833333333333335,30,8.87147076812079E-5,1,6.510869796169159,CIRCLE,9,915,2,0.6666666666666666,1.1873172373979173,0.0,391,0,cyclicDep,194341,smell
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,39.573930919838695,4.018123899872098,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.common.memory, org.apache.kafka.common.utils, org.apache.kafka.common.network]",74840;76091;75823,0.0,,0.0,0.0,0.0,5.0,2.0,4,1.2849314668223947E-4,1,4.018123899872098,CIRCLE,3,97,1,0.0,0.0,0.0,60,0,cyclicDep,194354,smell
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,300.88444506425384,20.244258700401065,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.clients.consumer, org.apache.kafka.common.config, org.apache.kafka.clients.admin.internals, org.apache.kafka.clients.consumer.internals, org.apache.kafka.common.security.authenticator, org.apache.kafka.common.security.scram.internals, org.apache.kafka.clients.admin, org.apache.kafka.common, org.apache.kafka.common.security.auth, org.apache.kafka.common.config.internals, org.apache.kafka.common.utils, org.apache.kafka.common.protocol, org.apache.kafka.common.network, org.apache.kafka.common.internals]",76089;76091;75891;75539;74870;74815;76051;75300;76096;76120;75822;74512;75503;75351,0.0,,0.0,0.0,0.0,5.428571428571429,2.967032967032967,79,1.1962176988957325E-4,1,6.401796703494763,CIRCLE,14,2209,10,0.7284313590846836,1.199363837331187,0.0,1781,0,cyclicDep,194361,smell
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,19.592899563876703,4.751976141998932,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.common.protocol, org.apache.kafka.common.network]",76089;75451,0.0,,0.0,0.0,0.0,5.0,2.0,2,7.072324167475227E-5,1,4.751976141998932,TINY,2,17,1,0.0,0.0,0.0,4,0,cyclicDep,194379,smell
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,332.77293107905103,22.225308526795793,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.clients.consumer, org.apache.kafka.common.protocol.types, org.apache.kafka.common.config, org.apache.kafka.clients.admin.internals, org.apache.kafka.clients.consumer.internals, org.apache.kafka.common.security.authenticator, org.apache.kafka.common.security.scram.internals, org.apache.kafka.clients.admin, org.apache.kafka.common, org.apache.kafka.common.security.auth, org.apache.kafka.common.config.internals, org.apache.kafka.common.utils, org.apache.kafka.common.protocol, org.apache.kafka.common.network, org.apache.kafka.common.internals]",74940;76089;76091;75891;75539;74870;74815;76051;75300;76096;76120;75822;74512;75503;74668,0.0,,0.0,0.0,0.0,5.466666666666667,3.0761904761904764,86,1.1380546263311457E-4,1,6.701182657569834,CIRCLE,15,2466,11,0.7180219742846006,1.200755619998056,0.0,1826,0,cyclicDep,194385,smell
