,File,Frequency,lines_modified
379,ControllerMovedException.java,2,39
380,ChannelBuilders.java,27,532
381,ControlledShutdownRequest.java,22,366
382,ControlledShutdownResponse.java,19,354
383,LeaderAndIsrRequest.java,33,1557
384,LeaderAndIsrResponse.java,22,497
385,UpdateMetadataRequest.java,34,2097
386,UpdateMetadataResponse.java,15,226
387,KafkaPrincipalTest.java,4,72
388,OffsetCommitCallback.java,9,53
389,OffsetAndMetadata.java,7,178
390,CopycatDistributed.java,5,145
391,KafkaOffsetBackingStore.java,27,1108
392,ConvertingFutureCallback.java,5,156
393,KafkaOffsetBackingStoreTest.java,29,1869
394,ByteArrayProducerRecordEquals.java,5,118
395,TestFuture.java,5,182
396,LongDeserializer.java,4,80
397,LongSerializer.java,3,75
398,KafkaStreaming.java,4,205
399,StreamingConfig.java,9,386
400,KStreamJob.java,6,202
401,ProcessorJob.java,7,181
402,WallclockTimestampExtractor.java,11,84
403,KStream.java,121,18622
404,KStreamBuilder.java,43,3592
405,KStreamWindowed.java,1,38
406,KeyValue.java,10,145
407,KeyValueMapper.java,13,135
408,Predicate.java,13,151
409,SlidingWindowDef.java,2,275
410,ValueJoiner.java,11,111
411,ValueMapper.java,11,93
412,Window.java,19,352
413,WindowDef.java,1,25
414,FilteredIterator.java,2,126
415,KStreamBranch.java,7,138
416,KStreamFilter.java,8,114
417,KStreamFlatMap.java,10,120
418,KStreamFlatMapValues.java,10,140
419,KStreamImpl.java,134,8558
420,KStreamJoin.java,5,120
421,KStreamMap.java,10,119
422,KStreamMapValues.java,9,131
423,KStreamPassThrough.java,6,62
424,KStreamWindow.java,3,92
425,KStreamWindowedImpl.java,7,166
426,WindowSupport.java,2,318
427,AbstractProcessor.java,10,129
428,Processor.java,18,201
429,ProcessorContext.java,50,1406
430,ProcessorDef.java,2,27
431,RestoreFunc.java,1,27
432,StateStore.java,17,222
433,TimestampExtractor.java,12,93
434,TopologyBuilder.java,60,6178
435,TopologyException.java,2,78
436,MinTimestampTracker.java,7,208
437,PartitionGroup.java,39,1138
438,ProcessorContextImpl.java,81,2881
439,ProcessorNode.java,44,1197
440,ProcessorStateManager.java,112,3406
441,ProcessorTopology.java,25,724
442,PunctuationQueue.java,8,100
443,PunctuationSchedule.java,8,166
444,Punctuator.java,6,80
445,RecordCollector.java,32,460
446,RecordQueue.java,44,840
447,SinkNode.java,37,418
448,SourceNode.java,34,407
449,Stamped.java,5,88
450,StampedRecord.java,5,70
451,StreamTask.java,221,7393
452,StreamThread.java,339,14334
453,TimestampTracker.java,4,132
454,Entry.java,2,84
455,InMemoryKeyValueStore.java,40,1243
456,KeyValueIterator.java,9,88
457,KeyValueStore.java,14,260
458,MeteredKeyValueStore.java,69,3018
459,OffsetCheckpoint.java,19,414
460,RocksDBKeyValueStore.java,5,384
461,KStreamBuilderTest.java,31,1270
462,FilteredIteratorTest.java,2,188
463,KStreamBranchTest.java,25,367
464,KStreamFilterTest.java,24,373
465,KStreamFlatMapTest.java,26,326
466,KStreamFlatMapValuesTest.java,25,407
467,KStreamImplTest.java,81,6640
468,KStreamJoinTest.java,4,398
469,KStreamMapTest.java,28,351
470,KStreamMapValuesTest.java,26,386
471,KStreamWindowedTest.java,3,190
472,TopologyBuilderTest.java,49,2070
