,File,Frequency,lines_modified
1119,SegmentsTest.java,16,571
1130,ScramMessages.java,9,402
1133,ScramSaslServer.java,15,388
1138,ScramMessagesTest.java,12,469
1139,StreamsKafkaClient.java,30,1382
1141,NodeApiVersions.java,17,731
1143,NodeApiVersionsTest.java,23,497
1144,SensorTest.java,12,507
1145,StreamsMetricsImpl.java,58,2719
1147,StreamsMetricsImplTest.java,39,2536
1148,KStreamsFineGrainedAutoResetIntegrationTest.java,12,559
1157,AbstractProcessorContext.java,36,510
1158,GlobalProcessorContextImpl.java,32,463
1161,GlobalStateManagerImpl.java,48,1391
1163,GlobalStreamThread.java,39,1061
1168,GlobalKTableIntegrationTest.java,44,1049
1169,GlobalKTableJoinsTest.java,20,377
1170,GlobalStateManagerImplTest.java,46,2682
1171,GlobalStateTaskTest.java,22,527
1172,GlobalStreamThreadTest.java,33,693
1183,ConnectorConfigTest.java,11,569
1201,WrappedStateStore.java,14,337
1202,ChangeLoggingKeyValueBytesStoreTest.java,25,542
1203,ChangeLoggingKeyValueStoreTest.java,10,526
1205,RocksDBKeyValueStoreSupplierTest.java,12,398
1206,RocksDBSessionStoreSupplierTest.java,12,448
1207,RocksDBWindowStoreSupplierTest.java,13,460
1209,InternalTopicManagerTest.java,37,3131
1229,SessionWindowsTest.java,18,445
1233,ClientCompatibilityTest.java,19,989
1238,BrokerCompatibilityTest.java,35,372
1240,StickyTaskAssignor.java,18,669
1241,ClientStateTest.java,19,1004
1242,StickyTaskAssignorTest.java,22,2106
1245,AbstractProcessorContextTest.java,42,559
1247,WindowKeySchema.java,17,368
1251,MergedSortedCacheWrappedWindowStoreIteratorTest.java,13,339
1260,StateRestorer.java,14,346
1261,StoreChangelogReader.java,73,3022
1263,StoreChangelogReaderTest.java,50,4200
1269,ProducerBatch.java,32,668
1270,ProducerBatchTest.java,15,433
1282,SessionKeySchemaTest.java,12,646
1284,AbstractLegacyRecordBatch.java,20,768
1287,DefaultRecord.java,23,1026
1288,DefaultRecordBatch.java,37,1256
1298,DefaultRecordBatchTest.java,19,539
1299,DefaultRecordTest.java,13,694
1305,DeleteRecordsRequest.java,10,375
1306,DeleteRecordsResponse.java,15,391
1325,OffsetsForLeaderEpochRequest.java,21,838
1326,OffsetsForLeaderEpochResponse.java,17,660
1331,AddPartitionsToTxnRequest.java,13,437
1332,AddPartitionsToTxnResponse.java,17,384
1336,TxnOffsetCommitRequest.java,18,855
1337,TxnOffsetCommitResponse.java,17,442
1338,WriteTxnMarkersRequest.java,13,562
1339,WriteTxnMarkersResponse.java,14,445
1344,FindCoordinatorRequest.java,13,387
1345,FindCoordinatorResponse.java,18,359
1351,TransactionManager.java,86,4646
1353,TransactionManagerTest.java,89,8644
1360,AdminClient.java,30,2194
1372,KafkaAdminClient.java,202,10820
1380,KafkaFutureImpl.java,10,685
1381,KafkaAdminClientTest.java,164,11223
1382,KafkaFutureTest.java,10,848
1396,ProduceRequestTest.java,12,581
1397,Cast.java,11,553
1399,CastTest.java,10,790
1400,FlattenTest.java,11,497
1403,KStreamPrintTest.java,13,385
1417,Resource.java,11,351
1418,ResourceFilter.java,9,476
1421,CreateAclsRequest.java,13,483
1423,DeleteAclsRequest.java,15,430
1424,DeleteAclsResponse.java,16,762
1425,DescribeAclsRequest.java,17,400
1426,DescribeAclsResponse.java,16,686
1427,RequestUtils.java,18,550
1432,StickyAssignor.java,14,2305
1433,StickyAssignorTest.java,16,2582
1436,ConfigEntry.java,13,380
1441,AlterConfigsRequest.java,11,440
1444,DescribeConfigsRequest.java,11,499
1445,DescribeConfigsResponse.java,14,928
1446,DelegatingClassLoader.java,30,908
1451,PluginUtils.java,21,514
1452,Plugins.java,23,909
1453,PluginUtilsTest.java,17,769
1456,TopicAdmin.java,19,889
1457,TopicAdminTest.java,23,1232
1466,WindowKeySchemaTest.java,15,857
1471,ApiVersionsResponseTest.java,18,610
1479,RocksDBStoreTest.java,59,2999
1495,TransactionalMessageCopier.java,19,720
1496,EosIntegrationTest.java,52,2808
1505,EosTestClient.java,25,457
1506,EosTestDriver.java,17,1482
1511,YahooBenchmark.java,19,1038
1518,AbstractStreamTest.java,29,390
1523,TopologyDescription.java,15,1180
1524,TopologyTest.java,47,3149
1527,InternalTopologyBuilder.java,94,5116
1528,InternalTopologyBuilderTest.java,60,2571
1547,Topology.java,26,1216
1548,StreamsBuilder.java,46,2959
1549,InternalStreamsBuilder.java,50,1791
1550,StreamsBuilderTest.java,60,2437
